name,url_picture,date_of_birth,age,height,weight,spike,block
Sofya Kuznetsova,/en/vnl/women/teams/rus-russia/players/sofya-kuznetsova?id=71468,31/10/1999,20,182,65,300,295
Tatiana Kadochkina,/en/vnl/women/teams/rus-russia/players/tatiana-kadochkina?id=71078,21/03/2003,16,192,77,310,292
Polina Matveeva,/en/vnl/women/teams/rus-russia/players/polina-matveeva?id=71065,08/08/2002,17,188,69,300,281
Victoriia Russu,/en/vnl/women/teams/rus-russia/players/victoriia-russu?id=71068,16/02/1999,20,193,70,311,305
Bianka Busa,/en/vnl/women/teams/srb-serbia/players/bianka-busa?id=71813,25/07/1994,25,187,74,312,298
Katarina Lazovic,/en/vnl/women/teams/srb-serbia/players/katarina-lazovic?id=71862,12/09/1999,20,182,65,290,277
Emilija Antanasijevic,/en/vnl/women/teams/srb-serbia/players/emilija-antanasijevic?id=71861,10/08/1994,25,180,72,290,275
Mina Popovic,/en/vnl/women/teams/srb-serbia/players/mina-popovic?id=71808,16/09/1994,25,187,73,315,305
Maja Savic,/en/vnl/women/teams/srb-serbia/players/maja-savic?id=71809,14/08/1993,26,189,70,305,295
Katarina Jovic,/en/vnl/women/teams/srb-serbia/players/katarina-jovic?id=71814,01/10/1999,20,191,76,292,284
Sladjana Mirkovic,/en/vnl/women/teams/srb-serbia/players/sladjana-mirkovic?id=71806,07/10/1995,24,185,78,293,283
Brankica Mihajlovic,/en/vnl/women/teams/srb-serbia/players/brankica-mihajlovic?id=71817,13/04/1991,28,190,83,302,290
Stefana Veljkovic,/en/vnl/women/teams/srb-serbia/players/stefana-veljkovic?id=71811,09/01/1990,29,190,76,325,310
Teodora Pusic,/en/vnl/women/teams/srb-serbia/players/teodora-pusic?id=71829,12/03/1993,26,170,58,270,260
Ana Bjelica,/en/vnl/women/teams/srb-serbia/players/ana-bjelica?id=71821,03/04/1992,27,190,78,310,305
Maja Aleksic,/en/vnl/women/teams/srb-serbia/players/maja-aleksic?id=71801,06/06/1997,22,188,72,302,289
Tijana Boškovic,/en/vnl/women/teams/srb-serbia/players/tijana-bo%c5%a1kovic?id=71822,08/03/1997,22,193,82,315,300
Bojana Milenkovic,/en/vnl/women/teams/srb-serbia/players/bojana-milenkovic?id=71919,06/03/1997,22,185,70,294,288
Jelena Blagojevic,/en/vnl/women/teams/srb-serbia/players/jelena-blagojevic?id=71812,01/12/1988,31,181,67,302,284
Jovana Kocic,/en/vnl/women/teams/srb-serbia/players/jovana-kocic?id=71805,24/02/1998,21,190,85,290,285
Sara Lozo,/en/vnl/women/teams/srb-serbia/players/sara-lozo?id=71816,29/04/1997,22,186,61,295,290
Mila Djordjevic,/en/vnl/women/teams/srb-serbia/players/mila-djordjevic?id=71804,20/04/1998,21,180,58,290,280
Aleksandra Cirovic,/en/vnl/women/teams/srb-serbia/players/aleksandra-cirovic?id=71803,30/09/1997,22,175,57,285,275
Sara Vucicevic,/en/vnl/women/teams/srb-serbia/players/sara-vucicevic?id=71820,29/04/1997,22,186,66,287,282
